idRAComposant;idObjet;idRA;idColsCib;COLS_CODE_CIB;CODE_COMPOSANT;idColsSrc;COLS_CODE_SRC
0;0;0;2;C002;[A];0;C000
1;0;0;3;C003;[A];0;C000
2;0;0;4;C004;[A];0;C000
3;0;0;5;C005;[A];0;C000
4;1;0;8;C002;[A];6;C000
5;1;0;8;C002;[B];7;C001
6;1;0;9;C003;[A];6;C000
7;1;0;10;C004;[A];6;C000
8;1;0;11;C005;[A];6;C000
9;2;0;14;C002;[A];12;C000
10;2;0;15;C003;[A];12;C000
11;2;0;16;C004;[A];12;C000
12;2;0;17;C005;[A];12;C000
13;3;0;20;C002;[A];18;C000
14;3;0;21;C003;[A];18;C000
15;3;0;22;C004;[A];18;C000
16;3;0;23;C005;[A];18;C000
17;4;0;26;C002;[A];24;C000
18;4;0;27;C003;[A];24;C000
19;4;0;28;C004;[A];24;C000
20;4;0;29;C005;[A];24;C000
21;5;0;32;C002;[A];30;C000
22;5;0;33;C003;[A];30;C000
23;5;0;34;C004;[A];30;C000
24;5;0;35;C005;[A];30;C000
25;6;0;38;C002;[A];36;C000
26;6;0;39;C003;[A];36;C000
27;6;0;40;C004;[A];36;C000
28;6;0;41;C005;[A];36;C000
29;7;0;44;C002;[A];42;C000
30;7;0;45;C003;[A];42;C000
31;7;0;46;C004;[A];42;C000
32;7;0;47;C005;[A];42;C000
33;8;0;50;C002;[A];48;C000
34;8;0;51;C003;[A];48;C000
35;8;0;52;C004;[A];48;C000
36;8;0;53;C005;[A];48;C000
